structure,z,L,energy_Eh
boronate_ester_2-Benzene_z30_ser_L000,3.0,0.0,-21.976609198317327
boronate_ester_2-Benzene_z30_ser_L010,3.0,1.0,-22.027934291996697
boronate_ester_2-Benzene_z30_ser_L020,3.0,2.0,-22.07210478421855
boronate_ester_2-Benzene_z30_ser_L030,3.0,3.0,-22.1025414766093
boronate_ester_2-Benzene_z30_ser_L040,3.0,4.0,-22.11404638979691
boronate_ester_2-Benzene_z30_ser_L050,3.0,5.0,-22.095390658231207
boronate_ester_2-Benzene_z30_ser_L060,3.0,6.0,-22.086997325860498
boronate_ester_2-Benzene_z30_ser_L070,3.0,7.0,-22.082396232863616
boronate_ester_2-Benzene_z30_ser_L080,3.0,8.0,-22.11492373725883
boronate_ester_2-Benzene_z30_ser_L087,3.0,8.7,-22.126713583506387
boronate_ester_2-Benzene_z31_ser_L000,3.1,0.0,-22.032471280161023
boronate_ester_2-Benzene_z31_ser_L010,3.1,1.0,-22.068166336075492
boronate_ester_2-Benzene_z31_ser_L020,3.1,2.0,-22.099178855163174
boronate_ester_2-Benzene_z31_ser_L030,3.1,3.0,-22.118543083062676
boronate_ester_2-Benzene_z31_ser_L040,3.1,4.0,-22.122429971872275
boronate_ester_2-Benzene_z31_ser_L050,3.1,5.0,-22.099965709301053
boronate_ester_2-Benzene_z31_ser_L060,3.1,6.0,-22.08833555457299
boronate_ester_2-Benzene_z31_ser_L070,3.1,7.0,-22.08292756261986
boronate_ester_2-Benzene_z31_ser_L080,3.1,8.0,-22.10791551092692
boronate_ester_2-Benzene_z31_ser_L087,3.1,8.7,-22.117169338574605
boronate_ester_2-Benzene_z32_ser_L000,3.2,0.0,-22.072256774728576
boronate_ester_2-Benzene_z32_ser_L010,3.2,1.0,-22.09512117350143
boronate_ester_2-Benzene_z32_ser_L020,3.2,2.0,-22.115277526041346
boronate_ester_2-Benzene_z32_ser_L030,3.2,3.0,-22.126137990676394
boronate_ester_2-Benzene_z32_ser_L040,3.2,4.0,-22.1248350557876
boronate_ester_2-Benzene_z32_ser_L050,3.2,5.0,-22.100087248710224
boronate_ester_2-Benzene_z32_ser_L060,3.2,6.0,-22.085658952487766
boronate_ester_2-Benzene_z32_ser_L070,3.2,7.0,-22.079425350895885
boronate_ester_2-Benzene_z32_ser_L080,3.2,8.0,-22.098445986081188
boronate_ester_2-Benzene_z32_ser_L087,3.2,8.7,-22.10555325618508
boronate_ester_2-Benzene_z33_ser_L000,3.3,0.0,-22.09789674136013
boronate_ester_2-Benzene_z33_ser_L010,3.3,1.0,-22.110827757680475
boronate_ester_2-Benzene_z33_ser_L020,3.3,2.0,-22.122374608693544
boronate_ester_2-Benzene_z33_ser_L030,3.3,3.0,-22.127338217485637
boronate_ester_2-Benzene_z33_ser_L040,3.3,4.0,-22.122051681402308
boronate_ester_2-Benzene_z33_ser_L050,3.3,5.0,-22.096427588966186
boronate_ester_2-Benzene_z33_ser_L060,3.3,6.0,-22.079823833060146
boronate_ester_2-Benzene_z33_ser_L070,3.3,7.0,-22.073125421222077
boronate_ester_2-Benzene_z33_ser_L080,3.3,8.0,-22.0872852604433
boronate_ester_2-Benzene_z33_ser_L087,3.3,8.7,-22.0927498917485
boronate_ester_2-Benzene_z34_ser_L000,3.4,0.0,-22.112483979687678
boronate_ester_2-Benzene_z34_ser_L010,3.4,1.0,-22.118031885533437
boronate_ester_2-Benzene_z34_ser_L020,3.4,2.0,-22.122680827764935
boronate_ester_2-Benzene_z34_ser_L030,3.4,3.0,-22.123909658254828
boronate_ester_2-Benzene_z34_ser_L040,3.4,4.0,-22.11499170431118
boronate_ester_2-Benzene_z34_ser_L050,3.4,5.0,-22.089437973717786
boronate_ester_2-Benzene_z34_ser_L060,3.4,6.0,-22.071604256136332
boronate_ester_2-Benzene_z34_ser_L070,3.4,7.0,-22.064885024531815
boronate_ester_2-Benzene_z34_ser_L080,3.4,8.0,-22.07490186881644
boronate_ester_2-Benzene_z34_ser_L087,3.4,8.7,-22.079410933250045
boronate_ester_2-Benzene_z35_ser_L000,3.5,0.0,-22.119166974293705
boronate_ester_2-Benzene_z35_ser_L010,3.5,1.0,-22.119455452511172
boronate_ester_2-Benzene_z35_ser_L020,3.5,2.0,-22.118288341607183
boronate_ester_2-Benzene_z35_ser_L030,3.5,3.0,-22.11718926589984
boronate_ester_2-Benzene_z35_ser_L040,3.5,4.0,-22.10472391887403
boronate_ester_2-Benzene_z35_ser_L050,3.5,5.0,-22.079581917159853
boronate_ester_2-Benzene_z35_ser_L060,3.5,6.0,-22.061699843180406
boronate_ester_2-Benzene_z35_ser_L070,3.5,7.0,-22.055262934431795
boronate_ester_2-Benzene_z35_ser_L080,3.5,8.0,-22.061576579008538
boronate_ester_2-Benzene_z35_ser_L087,3.5,8.7,-22.06580086553921
boronate_ester_2-Benzene_z36_ser_L000,3.6,0.0,-22.120214536949522
boronate_ester_2-Benzene_z36_ser_L010,3.6,1.0,-22.117169985055696
boronate_ester_2-Benzene_z36_ser_L020,3.6,2.0,-22.110798771405303
boronate_ester_2-Benzene_z36_ser_L030,3.6,3.0,-22.107998390527957
boronate_ester_2-Benzene_z36_ser_L040,3.6,4.0,-22.09227456241632
boronate_ester_2-Benzene_z36_ser_L050,3.6,5.0,-22.067496187878163
boronate_ester_2-Benzene_z36_ser_L060,3.6,6.0,-22.05065079888377
boronate_ester_2-Benzene_z36_ser_L070,3.6,7.0,-22.044620826986453
boronate_ester_2-Benzene_z36_ser_L080,3.6,8.0,-22.04757152272307
boronate_ester_2-Benzene_z36_ser_L087,3.6,8.7,-22.051851418430534
boronate_ester_2-Benzene_z37_ser_L000,3.7,0.0,-22.11698278344287
boronate_ester_2-Benzene_z37_ser_L010,3.7,1.0,-22.112296213754288
boronate_ester_2-Benzene_z37_ser_L020,3.7,2.0,-22.10112125243202
boronate_ester_2-Benzene_z37_ser_L030,3.7,3.0,-22.096637062098846
boronate_ester_2-Benzene_z37_ser_L040,3.7,4.0,-22.078442539697235
boronate_ester_2-Benzene_z37_ser_L050,3.7,5.0,-22.053947179062696
boronate_ester_2-Benzene_z37_ser_L060,3.7,6.0,-22.038802160199072
boronate_ester_2-Benzene_z37_ser_L070,3.7,7.0,-22.033190086753013
boronate_ester_2-Benzene_z37_ser_L080,3.7,8.0,-22.033257666309236
boronate_ester_2-Benzene_z37_ser_L087,3.7,8.7,-22.037325642844614
boronate_ester_2-Benzene_z38_ser_L000,3.8,0.0,-22.110623766436493
boronate_ester_2-Benzene_z38_ser_L010,3.8,1.0,-22.10511431629584
boronate_ester_2-Benzene_z38_ser_L020,3.8,2.0,-22.089553132963342
boronate_ester_2-Benzene_z38_ser_L030,3.8,3.0,-22.08306503947311
boronate_ester_2-Benzene_z38_ser_L040,3.8,4.0,-22.063663258851918
boronate_ester_2-Benzene_z38_ser_L050,3.8,5.0,-22.039573374036063
boronate_ester_2-Benzene_z38_ser_L060,3.8,6.0,-22.026285095944584
boronate_ester_2-Benzene_z38_ser_L070,3.8,7.0,-22.021056151044874
boronate_ester_2-Benzene_z38_ser_L080,3.8,8.0,-22.019045175327427
boronate_ester_2-Benzene_z38_ser_L087,3.8,8.7,-22.022315806342505
boronate_ester_2-Benzene_z39_ser_L000,3.9,0.0,-22.10210194172347
boronate_ester_2-Benzene_z39_ser_L010,3.9,1.0,-22.095514345462956
boronate_ester_2-Benzene_z39_ser_L020,3.9,2.0,-22.076220551062757
boronate_ester_2-Benzene_z39_ser_L030,3.9,3.0,-22.06730783657596
boronate_ester_2-Benzene_z39_ser_L040,3.9,4.0,-22.047931525139745
boronate_ester_2-Benzene_z39_ser_L050,3.9,5.0,-22.024650301975022
boronate_ester_2-Benzene_z39_ser_L060,3.9,6.0,-22.013155905293686
boronate_ester_2-Benzene_z39_ser_L070,3.9,7.0,-22.008264010006496
boronate_ester_2-Benzene_z39_ser_L080,3.9,8.0,-22.00519813266492
boronate_ester_2-Benzene_z39_ser_L087,3.9,8.7,-22.0074095162433
boronate_ester_2-Benzene_z40_ser_L000,4.0,0.0,-22.091495841353616
boronate_ester_2-Benzene_z40_ser_L010,4.0,1.0,-22.083354651428817
boronate_ester_2-Benzene_z40_ser_L020,4.0,2.0,-22.061524521886547
boronate_ester_2-Benzene_z40_ser_L030,4.0,3.0,-22.049687553205455
boronate_ester_2-Benzene_z40_ser_L040,4.0,4.0,-22.031015187386302
boronate_ester_2-Benzene_z40_ser_L050,4.0,5.0,-22.009073653719778
boronate_ester_2-Benzene_z40_ser_L060,4.0,6.0,-21.999422086914585
boronate_ester_2-Benzene_z40_ser_L070,4.0,7.0,-21.994848163000697
boronate_ester_2-Benzene_z40_ser_L080,4.0,8.0,-21.991574469064357
boronate_ester_2-Benzene_z40_ser_L087,4.0,8.7,-21.993068759879712
boronate_ester_2-Benzene_z41_ser_L000,4.1,0.0,-22.077946662652444
boronate_ester_2-Benzene_z41_ser_L010,4.1,1.0,-22.06874401852942
boronate_ester_2-Benzene_z41_ser_L020,4.1,2.0,-22.046014191205817
boronate_ester_2-Benzene_z41_ser_L030,4.1,3.0,-22.030802881802025
boronate_ester_2-Benzene_z41_ser_L040,4.1,4.0,-22.012919931750677
boronate_ester_2-Benzene_z41_ser_L050,4.1,5.0,-21.992767441955248
boronate_ester_2-Benzene_z41_ser_L060,4.1,6.0,-21.985099562420345
boronate_ester_2-Benzene_z41_ser_L070,4.1,7.0,-21.98090118203108
boronate_ester_2-Benzene_z41_ser_L080,4.1,8.0,-21.97783455734093
boronate_ester_2-Benzene_z41_ser_L087,4.1,8.7,-21.97896115444512
boronate_ester_2-Benzene_z42_ser_L000,4.2,0.0,-22.06073262099073
boronate_ester_2-Benzene_z42_ser_L010,4.2,1.0,-22.0521830878582
boronate_ester_2-Benzene_z42_ser_L020,4.2,2.0,-22.02986909616973
boronate_ester_2-Benzene_z42_ser_L030,4.2,3.0,-22.01144738173153
boronate_ester_2-Benzene_z42_ser_L040,4.2,4.0,-21.99422180379945
boronate_ester_2-Benzene_z42_ser_L050,4.2,5.0,-21.976038869980115
boronate_ester_2-Benzene_z42_ser_L060,4.2,6.0,-21.97028354917179
boronate_ester_2-Benzene_z42_ser_L070,4.2,7.0,-21.966601484829948
boronate_ester_2-Benzene_z42_ser_L080,4.2,8.0,-21.96378639546541
boronate_ester_2-Benzene_z42_ser_L087,4.2,8.7,-21.964274181066642
boronate_ester_2-Benzene_z43_ser_L000,4.3,0.0,-22.040693509349822
boronate_ester_2-Benzene_z43_ser_L010,4.3,1.0,-22.0344031659498
boronate_ester_2-Benzene_z43_ser_L020,4.3,2.0,-22.012974543079782
boronate_ester_2-Benzene_z43_ser_L030,4.3,3.0,-21.99256155619363
boronate_ester_2-Benzene_z43_ser_L040,4.3,4.0,-21.975759053010016
boronate_ester_2-Benzene_z43_ser_L050,4.3,5.0,-21.95950500566436
boronate_ester_2-Benzene_z43_ser_L060,4.3,6.0,-21.95522128924491
boronate_ester_2-Benzene_z43_ser_L070,4.3,7.0,-21.95218512034506
boronate_ester_2-Benzene_z43_ser_L080,4.3,8.0,-21.94960825437283
boronate_ester_2-Benzene_z43_ser_L087,4.3,8.7,-21.949060606508926
boronate_ester_2-Benzene_z44_ser_L000,4.4,0.0,-22.01974403188555
boronate_ester_2-Benzene_z44_ser_L010,4.4,1.0,-22.015782627631303
boronate_ester_2-Benzene_z44_ser_L020,4.4,2.0,-21.995448756272094
boronate_ester_2-Benzene_z44_ser_L030,4.4,3.0,-21.974877693890353
boronate_ester_2-Benzene_z44_ser_L040,4.4,4.0,-21.958169360864996
boronate_ester_2-Benzene_z44_ser_L050,4.4,5.0,-21.943804381097824
boronate_ester_2-Benzene_z44_ser_L060,4.4,6.0,-21.94030887122596
boronate_ester_2-Benzene_z44_ser_L070,4.4,7.0,-21.93796437372162
boronate_ester_2-Benzene_z44_ser_L080,4.4,8.0,-21.93567325690398
boronate_ester_2-Benzene_z44_ser_L087,4.4,8.7,-21.934362973917732
boronate_ester_2-Benzene_z45_ser_L000,4.5,0.0,-21.998969828736126
boronate_ester_2-Benzene_z45_ser_L010,4.5,1.0,-21.996165426426153
boronate_ester_2-Benzene_z45_ser_L020,4.5,2.0,-21.97765000987999
boronate_ester_2-Benzene_z45_ser_L030,4.5,3.0,-21.958597354027113
boronate_ester_2-Benzene_z45_ser_L040,4.5,4.0,-21.941793837352215
boronate_ester_2-Benzene_z45_ser_L050,4.5,5.0,-21.929333042376197
boronate_ester_2-Benzene_z45_ser_L060,4.5,6.0,-21.92595751975077
boronate_ester_2-Benzene_z45_ser_L070,4.5,7.0,-21.92426788911835
boronate_ester_2-Benzene_z45_ser_L080,4.5,8.0,-21.9222492958612
boronate_ester_2-Benzene_z45_ser_L087,4.5,8.7,-21.921016720428145
