structure,rank,two_theta_deg,relative_intensity
PDI-BT-COF-diff_z40_L000_serr,1,3.25154,100.0
PDI-BT-COF-diff_z40_L000_serr,2,3.23236,96.541
PDI-BT-COF-diff_z40_L000_serr,3,2.97091,8.1
PDI-BT-COF-diff_z40_L000_serr,4,5.94381,6.514
PDI-BT-COF-diff_z40_L000_serr,5,6.50569,6.337
PDI-BT-COF-diff_z40_L000_serr,6,6.4673,6.149
PDI-BT-COF-diff_z40_L000_serr,7,8.25371,2.688
PDI-BT-COF-diff_z40_L000_serr,8,8.31391,2.456
PDI-BT-COF-diff_z40_L000_serr,9,5.76488,1.738
PDI-BT-COF-diff_z40_L000_serr,10,8.78556,1.477
